reviewer_id,timestamp,review_content,company_name,company_type,company_size,company_address,is_review,review_masked,aspect_labels,aspect_sentiments,aspects_raw
369e5a,3 giờ trước,"Công ty có nhiều dự án và lương thưởng đủ sống, tình hình hay cắt hc, inhouse tăng target hoặc sop thay đổi liên tục, công việc ở mức chấp nhận nếu không xét về vật chất môi trường, còn nói về môi trường con người nhân cách thấp, toxic drama ngầm, tính chất bè hùa cao, rủ rê ăn uống ăn chơi hùa nhiều nhưng nếu đụng chạm ích lợi sẵn sàng cắn xé ngược như loài thú, rất giả tạo, leader trẻ gen z ấu trĩ, lậm quyền, ngáo quyền lực, thiên vị, lấp liếm, thiếu minh bạch, ưa nịnh, có lợi thì trọng không lợi thì khinh, nếu ở môi trường khác cạnh tranh tự nâng cao bằng năng lực, thì môi trường ở đây hạ bệ người khác để thỏa mãn cái tôi, nhưng mà được nhất thời thôi chứ không được cả đời, không có bông tuyết nào trong sạch, dĩ vãng dơ dáy dễ gì lấp liếm, rồi cũng tới thời gặp quả báo, ở đây chỉ phù hợp làm tạm để ghi cv, không thể làm lâu dài vì nguy cơ bị cắt hc, dễ trở thành con tốt thí mạng cho leader bẩn, thêm môi trường bầy đàn, nhiều cái miệng đủ vẽ câu chuyện hại người, bầy con cừu vì sinh tồn nghe theo con sói một cách mù quáng, không phân trắng đen, đến thời không còn lợi nó đá bay.",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"Công ty có nhiều dự án và lương thưởng đủ sống, tình hình hay cắt hc, inhouse tăng target hoặc sop thay đổi liên tục, công việc ở mức chấp nhận nếu không xét về vật chất môi trường, còn nói về môi trường con người nhân cách thấp, toxic drama ngầm, tính chất bè hùa cao, rủ rê ăn uống ăn chơi hùa nhiều nhưng nếu đụng chạm ích lợi sẵn sàng cắn xé ngược như loài thú, rất giả tạo, leader trẻ gen z ấu trĩ, lậm quyền, ngáo quyền lực, thiên vị, lấp liếm, thiếu minh bạch, ưa nịnh, có lợi thì trọng không lợi thì khinh, nếu ở môi trường khác cạnh tranh tự nâng cao bằng năng lực, thì môi trường ở đây hạ bệ người khác để thỏa mãn cái tôi, nhưng mà được nhất thời thôi chứ không được cả đời, không có bông tuyết nào trong sạch, dĩ vãng dơ dáy dễ gì lấp liếm, rồi cũng tới thời gặp quả báo, ở đây chỉ phù hợp làm tạm để ghi cv, không thể làm lâu dài vì nguy cơ bị cắt hc, dễ trở thành con tốt thí mạng cho leader bẩn, thêm môi trường bầy đàn, nhiều cái miệng đủ vẽ câu chuyện hại người, bầy con cừu vì sinh tồn nghe theo con sói một cách mù quáng, không phân trắng đen, đến thời không còn lợi nó đá bay.","Salary & Benefits, Culture & Environment, Management & Leadership, Work Hours & Workload, Career Growth & Opportunities","negative, negative, negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Culture & Environment"", ""sentiment"": ""negative""}, {""aspect"": ""Management & Leadership"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}, {""aspect"": ""Career Growth & Opportunities"", ""sentiment"": ""negative""}]"
f5083e,1 năm trước,"Công ty có nhiều dự án shopee rất đáng để quan tâm, nhân sự cũng nice nữa, tuy nhiên có điều đáng quan ngại là về cô lao công tại toà thăng long, lúc đầu cứ nghĩ cô này lớn tuổi nên khó chịu nhưng nhiều chuyện tiêu cực thường xuyên nên thấy rất bất ổn, mong công ty nếu thấy được thông tin này có thể xem lại về cô lao công, không biết cô có mối quen biết với ai của toà nhà hay công ty không nhưng thấy cô thường xuyên ăn to nói lớn kiếm chuyện này hết chuyện kia rất ảnh hưởng đến tinh thần agent, đến cả các lead quản lý ở đây đều nhẹ nhàng dịu dàng, mà cái kiểu của cô hơn quản lý nữa, ban đầu thấy cô hay lớn tiếng bắt bẻ về việc các bạn bỏ rác thức ăn, nilong ở thùng rác nhà vệ sinh thì có thể hiểu, rồi khi kệ dép hết chỗ để nên có bạn để dưới đất, nhưng mà đến cả việc đi vệ sinh đại tiện, tiểu tiện là vấn đề sinh lý cơ bản của con người không thể kiểm soát được chính xác thời gian như khi làm việc mà cô tỏ thái độ bực dọc, chửi bới và cố tình dập đùng đùng trong nhà vệ sinh như cánh cửa, vách phòng, hộp đựng giấy thì thể hiện xu hướng bạo lực và tâm lý bất ổn, dù là cô phải làm 3 lầu nhưng công việc là do cô chọn và các agent luôn thân thiện với cô, ngoài kia có rất nhiều văn phòng đi qua rồi thấy lao công rất đàng hoàng và không ai léo nhéo ngoài cửa khi người bên trong đang đi, và chắc bản thân cô cũng không bị ai cằn nhằn hối thúc khi đi vệ sinh, vậy tại sao cô lại hành xử vô duyên như vậy, trong khi mọi người ai cũng phải làm việc áp lực, tăng ca thêm giờ và chạy số mà chẳng ai phàn nàn cô lao công khi hết giấy nhà vệ sinh hoặc rác tràn ngập thùng. Khi vọng công ty V*** M* S** tương lai có thể tạo môi trường thật sự thoải mái để agent phát huy hết mình mà không bị gò bó bởi việc đái ỉa cơ bản như vậy, và quan trọng là được an toàn khỏi người có tâm lý bạo lực biến thái có thể thấy rõ qua việc làm đùng đùng của lao công trong nhà vệ sinh khi đang có người, tự hỏi nếu không có cánh cửa đó thì liệu bà ta sẽ đập ai.",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"Công ty có nhiều dự án shopee rất đáng để quan tâm, nhân sự cũng nice nữa, tuy nhiên có điều đáng quan ngại là về cô lao công tại toà thăng long, lúc đầu cứ nghĩ cô này lớn tuổi nên khó chịu nhưng nhiều chuyện tiêu cực thường xuyên nên thấy rất bất ổn, mong công ty nếu thấy được thông tin này có thể xem lại về cô lao công, không biết cô có mối quen biết với ai của toà nhà hay công ty không nhưng thấy cô thường xuyên ăn to nói lớn kiếm chuyện này hết chuyện kia rất ảnh hưởng đến tinh thần agent, đến cả các lead quản lý ở đây đều nhẹ nhàng dịu dàng, mà cái kiểu của cô hơn quản lý nữa, ban đầu thấy cô hay lớn tiếng bắt bẻ về việc các bạn bỏ rác thức ăn, nilong ở thùng rác nhà vệ sinh thì có thể hiểu, rồi khi kệ dép hết chỗ để nên có bạn để dưới đất, nhưng mà đến cả việc đi vệ sinh đại tiện, tiểu tiện là vấn đề sinh lý cơ bản của con người không thể kiểm soát được chính xác thời gian như khi làm việc mà cô tỏ thái độ bực dọc, chửi bới và cố tình dập đùng đùng trong nhà vệ sinh như cánh cửa, vách phòng, hộp đựng giấy thì thể hiện xu hướng bạo lực và tâm lý bất ổn, dù là cô phải làm 3 lầu nhưng công việc là do cô chọn và các agent luôn thân thiện với cô, ngoài kia có rất nhiều văn phòng đi qua rồi thấy lao công rất đàng hoàng và không ai léo nhéo ngoài cửa khi người bên trong đang đi, và chắc bản thân cô cũng không bị ai cằn nhằn hối thúc khi đi vệ sinh, vậy tại sao cô lại hành xử vô duyên như vậy, trong khi mọi người ai cũng phải làm việc áp lực, tăng ca thêm giờ và chạy số mà chẳng ai phàn nàn cô lao công khi hết giấy nhà vệ sinh hoặc rác tràn ngập thùng. Khi vọng công ty [COMPANY] tương lai có thể tạo môi trường thật sự thoải mái để agent phát huy hết mình mà không bị gò bó bởi việc đái ỉa cơ bản như vậy, và quan trọng là được an toàn khỏi người có tâm lý bạo lực biến thái có thể thấy rõ qua việc làm đùng đùng của lao công trong nhà vệ sinh khi đang có người, tự hỏi nếu không có cánh cửa đó thì liệu bà ta sẽ đập ai.","Office & Workspace, Culture & Environment","negative, negative","[{""aspect"": ""Office & Workspace"", ""sentiment"": ""negative""}, {""aspect"": ""Culture & Environment"", ""sentiment"": ""negative""}]"
c87f2d,1 năm trước,Mình vừa bị công ty quỵt tiền càng ngày càng xàm làm chết lun mà ko có kpi làm 10-11 tiếng ngày lương chưa đc 9tr ngộ ko. Nói hỗ trợ tăng lương tiền up skill xong rồi lúc nghỉ việc nhận lương tháng 4 thì bảo tiền up skill sẽ được trả vào tháng 5. Đến lúc nhận lương tháng 5 thì teamlead và senior báo đã đc trả tháng 4 xong chụo chụp note là tiền phụ cấp là tiền up skill . Ủa nói v là nhânn được rồi á hã lật lọng ko muón trả tiền cho nhân viên :))))) xobg TL thì nch ngu hỏi đằng tl nẻo. B** em nhận lương ko đúng sao ko check với chị khi thông báo là sẽ đc chi trả tháng 5 thì bảng lươbg tháng 4 trừ tiền up skill đã đủ rồi check cài gì nũa TL ơi. Có ai ngu đến nức đọc thông báo rồi mà còn hỏi sao bảng lương t4 của em ko có tiền up skill ko ạ?! Mà chị đặt câu hỏi ngu quá dị . Nếu muốn ăn chặn thì nói ạ,Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,Mình vừa bị công ty quỵt tiền càng ngày càng xàm làm chết lun mà ko có kpi làm 10-11 tiếng ngày lương chưa đc 9tr ngộ ko. Nói hỗ trợ tăng lương tiền up skill xong rồi lúc nghỉ việc nhận lương tháng 4 thì bảo tiền up skill sẽ được trả vào tháng 5. Đến lúc nhận lương tháng 5 thì teamlead và senior báo đã đc trả tháng 4 xong chụo chụp note là tiền phụ cấp là tiền up skill . Ủa nói v là nhânn được rồi á hã lật lọng ko muón trả tiền cho nhân viên :))))) xobg TL thì nch ngu hỏi đằng tl nẻo. B** em nhận lương ko đúng sao ko check với chị khi thông báo là sẽ đc chi trả tháng 5 thì bảng lươbg tháng 4 trừ tiền up skill đã đủ rồi check cài gì nũa TL ơi. Có ai ngu đến nức đọc thông báo rồi mà còn hỏi sao bảng lương t4 của em ko có tiền up skill ko ạ?! Mà chị đặt câu hỏi ngu quá dị . Nếu muốn ăn chặn thì nói ạ,"Salary & Benefits, Management & Leadership, Work Hours & Workload, Training & Learning","negative, negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Management & Leadership"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}, {""aspect"": ""Training & Learning"", ""sentiment"": ""negative""}]"
6e7059,1 năm trước,Mình vừa bị công ty quỵt tiền càng ngày càng xàm làm chết lun mà ko có kpi làm 10-11 tiếng ngày lương chưa đc 9tr ngộ ko. Nói hỗ trợ tăng lương tiền up skill xong rồi lúc nghỉ việc nhận lương tháng 4 thì bảo tiền up skill sẽ được trả vào tháng 5. Đến lúc nhận lương tháng 5 thì teamlead và senior báo đã đc trả tháng 4 xong chụo chụp note là tiền phụ cấp là tiền up skill . Ủa nói v là nhânn được rồi á hã lật lọng ko muón trả tiền cho nhân viên :))))) xobg TL thì nch ngu hỏi đằng tl nẻo. B** em nhận lương ko đúng sao ko check với chị khi thông báo là sẽ đc chi trả tháng 5 thì bảng lươbg tháng 4 trừ tiền up skill đã đủ rồi check cài gì nũa TL ơi. Có ai ngu đến nức đọc thông báo rồi mà còn hỏi sao bảng lương t4 của em ko có tiền up skill ko ạ?! Mà chị đặt câu hỏi ngu quá dị . Nếu muốn ăn chặn thì nói ạ,Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,Mình vừa bị công ty quỵt tiền càng ngày càng xàm làm chết lun mà ko có kpi làm 10-11 tiếng ngày lương chưa đc 9tr ngộ ko. Nói hỗ trợ tăng lương tiền up skill xong rồi lúc nghỉ việc nhận lương tháng 4 thì bảo tiền up skill sẽ được trả vào tháng 5. Đến lúc nhận lương tháng 5 thì teamlead và senior báo đã đc trả tháng 4 xong chụo chụp note là tiền phụ cấp là tiền up skill . Ủa nói v là nhânn được rồi á hã lật lọng ko muón trả tiền cho nhân viên :))))) xobg TL thì nch ngu hỏi đằng tl nẻo. B** em nhận lương ko đúng sao ko check với chị khi thông báo là sẽ đc chi trả tháng 5 thì bảng lươbg tháng 4 trừ tiền up skill đã đủ rồi check cài gì nũa TL ơi. Có ai ngu đến nức đọc thông báo rồi mà còn hỏi sao bảng lương t4 của em ko có tiền up skill ko ạ?! Mà chị đặt câu hỏi ngu quá dị . Nếu muốn ăn chặn thì nói ạ,"Salary & Benefits, Work Hours & Workload, Management & Leadership, Training & Learning","negative, negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}, {""aspect"": ""Management & Leadership"", ""sentiment"": ""negative""}, {""aspect"": ""Training & Learning"", ""sentiment"": ""negative""}]"
d6bae5,1 năm trước,"Thử việc ko hợp đồng, nhà có việc gia đình chụp giấy chứng tử mới cho lấy lương. Tiền train thì pass ko là cũng chưa có đâu, tầm 3-4 tháng cơ, tăng ca sml xong trừ công ra. Làm 9 tiếng nhưng có khi tính 7 tiếng thôi",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"Thử việc ko hợp đồng, nhà có việc gia đình chụp giấy chứng tử mới cho lấy lương. Tiền train thì pass ko là cũng chưa có đâu, tầm 3-4 tháng cơ, tăng ca sml xong trừ công ra. Làm 9 tiếng nhưng có khi tính 7 tiếng thôi","Salary & Benefits, Work Hours & Workload, Management & Leadership, Training & Learning","negative, negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}, {""aspect"": ""Management & Leadership"", ""sentiment"": ""negative""}, {""aspect"": ""Training & Learning"", ""sentiment"": ""negative""}]"
3bb9c6,1 năm trước,"Môi trường vui vẻ nè, cô lao công cũng thân thiện, thường xuyên nói chuyện hỏi thăm mọi người. Cô lớn tuổi mà tòa nhà người đông việc nhiều, thông cảm cho cô, cô như người già lớn tuổi trong nhà thôi. Chúc cô lao công nhiều sức khỏe. Công ty dù chưa đạt được hài lòng với 1 số ít người, nhưng cũng là mái nhà thứ 2 cho nhiều bạn ở nhiều độ tuổi, có nhiều dự án để thử sức. Kính chúc điều tốt đẹp với công ty và tất cả.",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"Môi trường vui vẻ nè, cô lao công cũng thân thiện, thường xuyên nói chuyện hỏi thăm mọi người. Cô lớn tuổi mà tòa nhà người đông việc nhiều, thông cảm cho cô, cô như người già lớn tuổi trong nhà thôi. Chúc cô lao công nhiều sức khỏe. [COMPANY] dù chưa đạt được hài lòng với 1 số ít người, nhưng cũng là mái nhà thứ 2 cho nhiều bạn ở nhiều độ tuổi, có nhiều dự án để thử sức. Kính chúc điều tốt đẹp với [COMPANY] và tất cả.","Culture & Environment, Career Growth & Opportunities","positive, positive","[{""aspect"": ""Culture & Environment"", ""sentiment"": ""positive""}, {""aspect"": ""Career Growth & Opportunities"", ""sentiment"": ""positive""}]"
388b3f,2 năm trước,"Rất tệ, train không lương nha. đừng nộp CV vào đây tốn công sức lắm. Học cả nửa tháng trời, mà cuối cùng không pass thì không lương. Quy trình vừa nhiều vừa khó không thể nào nhớ hết nổi trong vài ngày Nghiệp vụ rất nhiều mà lương thì đâu có cao",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"Rất tệ, train không lương nha. đừng nộp CV vào đây tốn công sức lắm. Học cả nửa tháng trời, mà cuối cùng không pass thì không lương. Quy trình vừa nhiều vừa khó không thể nào nhớ hết nổi trong vài ngày Nghiệp vụ rất nhiều mà lương thì đâu có cao","Salary & Benefits, Training & Learning, Work Hours & Workload","negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Training & Learning"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}]"
fe5494,2 năm trước,"T*** né cty này đi, nhất là cái dự án KOL, công việc ngày càng ép người bào đc nhiu bào, việc dc giao k có 1 chút logic nào cg p làm như mấy đứa đần dị đó, lương cũng k cao, cấp trên ba chấm, đi làm góp tiếng cười thì dc chứ phát triển thì k nổi.",Việt Mỹ Ssu (15),,,"Việt Mỹ Ssu (15) outsource 151-500 198 A5 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",True,"T*** né [COMPANY] này đi, nhất là cái dự án KOL, công việc ngày càng ép người bào đc nhiu bào, việc dc giao k có 1 chút logic nào cg p làm như mấy đứa đần dị đó, lương cũng k cao, cấp trên ba chấm, đi làm góp tiếng cười thì dc chứ phát triển thì k nổi.","Salary & Benefits, Management & Leadership, Work Hours & Workload, Culture & Environment, Career Growth & Opportunities","negative, negative, negative, negative, negative","[{""aspect"": ""Salary & Benefits"", ""sentiment"": ""negative""}, {""aspect"": ""Management & Leadership"", ""sentiment"": ""negative""}, {""aspect"": ""Work Hours & Workload"", ""sentiment"": ""negative""}, {""aspect"": ""Culture & Environment"", ""sentiment"": ""negative""}, {""aspect"": ""Career Growth & Opportunities"", ""sentiment"": ""negative""}]"
