Combined_Review,Labels
"Phù hợp cho các bạn intern. Sếp dễ tính, có training cho nhân viên. Không có OT. Môi trường không có nhiều hoạt động.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Công ty tốt, thời gian làm việc linh động. môi trường năng động, thoải mái, linh động về thời gian làm việc. không có OT. thời gian làm việc linh động. Buổi trưa chưa biết nằm ngủ ở đâu. Xung quanh công ty hơi thiếu chỗ ăn trưa chất lượng.","Management cares about me, Culture & fun, Office & workspace"
"Môi trường làm việc và thu nhập hấp dẫn. Không gian làm việc thoải mái. Được cung cấp bàn nâng hạ, Macbook, điện thoại iphone khi làm việc tại đây. Chế độ nghỉ phép và work form home được flexible. Đồ ăn lúc nào cũng đầy tủ lạnh nên đi làm sợ mập thôi, ko sợ đói ăn. Không có OT, công ty thành lập được hơn 1 năm, nay đã có văn phòng riêng. Văn phòng mới thành lập nên từ từ sec setup sofa cũng như các vật dụng giải trí khác sau. Nhìn chung mình tới công ty chỉ dán mắt vào màn hình nên ko quan tâm các thứ khác lắm.","Salary & benefits, Culture & fun, Office & workspace"
"Văn Phòng Rộng, Giờ làm việc linh hoạt, thoải mái. Văn phòng rộng, số lượng tasks phân bố hợp lý, lương ổn, đồng nghiệp và sếp thân thiện, thời gian làm việc linh hoạt. Hiếm khi OT, hoặc nếu có thì cũng ít. Chế độ ổn, ko có gì complain. Tạm thời mọi thứ đều ổn, chưa thấy có gì ko hài lòng. Sẽ update lại sau.","Salary & benefits, Management cares about me, Office & workspace"
"Sếp hoà đồng, đồng nghiệp thân thiện và hỗ trợ nhiệt tình. Môi trường ""lành"" ít cạnh tranh. Mọi người cởi mở chia sẻ hỗ trợ nhau. Các dự án ít khi OT. Khi OT sẽ có sắp xếp phúc lợi phù hợp. Có thêm các hoạt động để gắn kết các team khác nhau với nhau.","Salary & benefits, Management cares about me, Culture & fun"
"Môi trường làm việc rất tốt, thoải mái và rất vui. Công ty có văn hóa rất vui vẻ và thoải mái. Có cả 1 lầu để ăn chơi, bóng bàn bi lắc các kiểu. Nhân viên được cấp laptop. Project từ Mỹ là chính nên được luyện tiếng Anh rất tốt. Không có OT bao giờ nên ko biết chế độ khi OT thì sẽ thế nào.","Training & learning, Culture & fun, Office & workspace"
"Công ty phù hợp với Intern. Văn phòng rộng rãi, mọi người thân thiện, học hỏi được nhiều trong dự án. Không có OT, có thể về sớm miễn làm xong việc của mình. Cần quan tâm đến nhân viên nhiều hơn.","Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Sếp thoải mái, giờ giậc linh động. Sếp thoải mái, thời gian làm việc linh hoạt. Nhiều cơ hội học hỏi dự án mới. Giờ giấc thoải mái, linh động và không OT nên không bình luận. Bãi gửi xe hơi xa công ty. Quy trình cần được cập nhật.","Training & learning, Management cares about me, Office & workspace"
"Đánh giá về TP&P Technology. Thời gian làm việc linh động. Không gian làm việc rộng rãi ,thoáng. Đồng nghiệp hòa đồng , vui vẻ. Cơ hội học hỏi công nghệ mới. Không OT - hoăc nếu có thì thời gian OT không nhiều.","Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Sếp tốt, môi trường hòa đồng. Không gian làm việc đẹp, đồng nghiệp thân thiện. Có lớp học tiếng anh. Ở công ty không có OT, nếu có OT thì sẽ được nghỉ bù vào hôm khác.","Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Anh em hòa đồng. Văn phòng làm việc thoải mái, không chật chội. Có phòng ăn, pantry các kiểu :)). Sếp thân thiện với nhân viên. Công ty hiếm khi OT. Đa phần các công việc hoàn thành trong giờ hành chính :). Chưa phân tách rõ các bộ phận. Luân chuyển nhân viên hơi nhiều.","Management cares about me, Culture & fun, Office & workspace"
Tuyển intern thực tập có lương thực tập nhưng không đúng như lời nói. Làm việc trong công ty cảm thấy lạc lỏng giữa mọi người không có gì gọi là có sự quan tâm từ hr hoặc những người trong công ty làm intern fulltime nhưng không được khích lệ củng như là trợ cấp. Làm việc 2 tháng intern Fulltime củng không có giúp phát triển thêm được gì cho bản thân trong công ty. Vấn đề tuyển intern khi bắt đầu vào làm bộ phận nhân sự bảo sẻ có lương intern sau khi đánh giá KPI tháng thứ 2 nhưng thật sự mà nói chỉ là nói xạo. Qua 2 tháng làm việc intern phần lớn thời gian là fulltime nhưng không nhận được hổ trợ từ bộ phận nhân sự đến tháng thứ 2 đã đánh giá KPI xong nhưng vẫn không nhận được lương như lời HR nói. Mỗi lần nhắc đến lương là HR điều nói đợi xét duyệt nhưng cuối cùng lại là không có lương. Bỏ ra 2 tháng làm việc intern Fulltime mà không nhận được gì. Mặt khác intern củng không được quan tâm và đánh giá năng lực mặt dù cố gắng làm việc và thậm chí là fulltime lương intern củng chẳng có theo lời hr nói là sẻ có. Làm intern Fulltime nhưng không được quan tâm.,"Salary & benefits, Training & learning, Management cares about me"
"""thiếu trách nhiệm với internship"" dành cho các bạn sinh viên WARNING. Thật sự mà nói thì vô công ty này thực tập 2 tháng hơn. Mình đã thấy không có cái gì thích được ở công ty này. Mình và nhóm bạn mình là sinh viên năm cuối và thực tập ở công ty này. Sau khi thực tập xong thì mình có đôi lời mún ""cảnh báo"" các bạn sinh viên khác trước khi quyết định thực tập tại đây hoặc làm việc tại đây:. Những lời hứa hẹn + yêu cầu tuyển dụng internship lúc đầu khi mới vào công ty : lương hỗ trợ sinh viên, được mentor, bla bla đủ thứ. THỰC TẾ:. làm fulltime 2 tháng hơn ( không lương và hẹn hò đủ kiểu) rồi cuối cùng thì bắt chờ đợi lương đủ kiểu rồi nhận đc tin nhắn ko lương :). Internship vô học và làm thì cảm giác như yêu cầu trình của fresher hoặc hơn :). Vậy thì tuyển internship làm gì nhỉ. Lúc tuyển intern thì ko yêu cầu bất cứ gì cả, lúc vào rồi thì yêu cầu nào là đủ thứ kiến thức để làm dự án luôn. WOW. CHỐT:. Sau khi làm việc thì mình cảm thấy ko có đc bất cứ sự tôn trọng nào từ công ty và xem sinh viên như những cái máy làm việc không công :). Môi trường này thật sự các bạn SV sau này nên tránh xa ra. Kiếm những công ty nào đó chuyên nghiệp hơn để phát triển. Đây coi như là 1 trải nghiệm tệ của nhóm mình khi mà thực tập đây. làm việc fulltime nhưng không được được trả lương hay hỗ trợ nào từ công ty.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Môi trường làm việc tốt và vui vẻ. Thời gian làm việc thoải mái, không OT. Đồng nghiệp vui vẻ, hòa đồng. Sếp dễ chịu. Dự án áp dụng công nghệ mới, học được nhiều. Văn phòng mới view đẹp, rộng rãi. Công ty không có OT, làm việc từ t2 đến t6. Thời gian làm việc thoải mái. Đa phần dự án không có document rõ ràng, nhân lực mỏng nên quy trình cũng không rõ ràng.","Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Môi trường product, sếp tốt nhưng cần cải thiện về qui trình làm việc. Các sếp giỏi nên học hỏi được rất nhiều. Mọi người trong công ty dễ gần. Có happy hour mỗi T6. Môi trường làm việc vui vẻ. Lương ở mức trung bình (không cao không thấp). Vì là công ty start-up nên chưa có qui trình làm việc rõ ràng. Các task chia không đều giữa các team. Chưa được linh hoạt thời gian làm việc (đã bỏ chính sách wfh nên phải có mặt tại công ty theo giờ làm việc không được flexible wfh nếu cần). Đã bỏ chính sách cấp tiền mua laptop cá nhân và sở hữu sau 1 năm. Đôi khi để kịp release phải ở lại đến 7-8h nhưng không request OT. Chưa có policy rõ ràng cho OT.","Salary & benefits, Training & learning, Culture & fun"
"nhân viên tốt, môi trường trẻ, các sếp biết lắng nghe anh em. các DEV trẻ. các team còn lại nice, mọi người vui vẻ. Các sếp chịu nghe nhân viên ""tâm sự"", cũng đưa ra các benefit phù hợp với các member dựa trên ý kiến của các bạn. Các anh chị cũng thường sharing kiến thức về các mảng khác nên cũng giúp các bạn có cái nhìn bao quát về các vấn đề xung quanh dự án. Vì môi trường trẻ nên các bạn năng động, vui vẻ, các bạn leader dù có căng thẳng cũng ít tạo áp lực cho member. Dàn HR và các team khác cũng rất ok. OT hưởng benefit đầy đủ, có request OT rõ ràng. Tùy vào tình hình dự án sẽ có request OT nhiều nếu có gì cần các team support gấp. Do tính chất đặc thù về nghiệp vụ của dự án nên đôi khi các bạn product không thể clear được những gì mình cần làm gây ra vài trường hợp hiểu nhầm cho các team member. Môi trường không phù hợp với những bạn làm việc ""nhàn"" ở công ty cũ nhất là các công ty có product hoạt động ổn định, độ phủ task ở mức trung bình. Vì dự án khó nên việc rất nhiều, tần suất phủ task rất cao. Các bạn có thể chậm nhưng bạn không thể ""nhàn"". Công ty nên nêu vấn đề trong các buổi interview này để tránh việc các bạn vào rồi lại nghỉ do không chịu được áp lực. Do thiếu người nên việc phân bổ tài nguyên con người đôi khi không hợp lý, những thứ cần ưu tiên làm trước thì lại không có tài nguyên, những việc không cần gấp thì có lượng tài nguyên về người dồi dào.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Một nơi có thể thử thách bản thân, thỏa sức học hỏi và trau dồi kinh nghiệm. Đồng nghiệp cực kỳ thân thiện và nhiệt tình hỗ trợ trong công việc. Máy laptop được cấp mới hoàn toàn cho mỗi cá nhân. Không gian làm việc thoáng đãng, thoải mái, ngắm hoàng hôn rực rỡ mỗi buổi chiều tà. Máy pha cà phê cùng đồ ăn vặt ngập tràn, đánh tan cơn đói. Hoạt động ngoài giờ giúp mọi người thư giãn và kết nối nhau hơn. Có chế độ OT được quy đổi thành ngày nghỉ phép năm. Quy trình làm việc cần chi tiết hơn. Các đầu việc khá nhiều và các buổi họp liên tục.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Đồng nghiệp thân thiện, hòa đồng, năng động và nhiệt tình giúp đỡ để cải thiện chất lượng và hiệu năng công việc. Máy laptop mới, phù hợp nhu cầu công việc. Môi trường làm việc thoái mái với không gian hoàng hôn rực rỡ mỗi chiều tà. Máy pha cà phê sẵn sàng trợ giúp khi buồn ngủ cùng tủ lương thực đầy ắp làm dịu ngay cơn đói. Hoạt động Happy Hour mỗi tuần, giải tỏa căng thẳng, tạo cơ hội giao lưu với các thành viên khác trong công ty. Chế độ OT rõ ràng, minh bạch, quy đổi thành ngày phép năm. Quy trình làm việc cần rõ ràng để cải thiện tiến độ và chất lượng công việc.","Salary & benefits, Culture & fun, Office & workspace"
"Công ty môi trường mở, thoải mái, thân thiện,thể hiện kĩ năng nhiều hơn. Good !! Được trang bị máy móc làm việc theo sở thích, pantry nhiều đồ ăn, cf free ! View cực đẹp. Hiện tại do tình hình dịch bệnh nên cũng chưa có chính sách OT, mới chỉ qui đổi ra ngày phép ! Hiện tại chưa có ý kiến gì cho vấn đề này ! Tương lai cty sẽ phát triển, và mở rộng quy mô các team.","Culture & fun, Office & workspace"
"Môi trường startup nhiều cơ hội phát triển, sếp tốt. Văn phòng đẹp, hiện đại. Được cấp tiền mua máy theo nhu cầu. Anh sếp (Product Director) siêu giỏi, có thể học hỏi được rất nhiều. Anh em công ty thân thiện, hết mình vì công việc và hỗ trợ lẫn nhau. Khi dự án vào giai đoạn nước rút thì có OT, nhưng benefit khá tốt. Do đặc thù công ty startup mới nên process chưa hoàn thiện, vẫn còn cần nhiều thay đổi.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Văn phòng Đẹp, các bạn trẻ năng động, đội ngũ lãnh đạo toàn nhân tài. Văn phòng nằm trên lầu 22 của tòa Opal xịn xò, Vp mới 100% còn nghe thấy mùi sơn, Nhà Vệ sinh thơm tho sạch sẽ, Các bạn mời được cho tiền mua máy mới, sau 1 năm thì được sở hữu nóchính sách rất tuyệt. Chế độ, chính sách hấp dẫn, View sống ảo rất chill, không gian thoáng, văn phòng rộng rãi. Plan khá dày và gấp mà công ty cũng thiếu người nên chạy cũng sút quần.","Salary & benefits, Culture & fun, Office & workspace"
"Môi trường mở, năng động, trẻ trung và chill. Có view ngắm cảnh mỗi ngày, mọi người làm việc rất support lẫn nhau và chế độ đãi ngộ tốt. Chưa có chế độ OT vì ít khip OT nên không biết sẽ như thế nào. Họp hơi nhiều, đôi lúc không có đủ thời gian để làm việc, nhưng phải họp để nắm vững kiến thức về Product nên vẫn happy.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Công ty Ổn. Sup và mentor tốt, training cho mình rất kĩ, Bên này cách NV được học là bạn sẽ được tự bơi sau đó Sup thấy sai thì sẽ chỉ dạy lại tận tình. Thời gian làm việc thoải mái. Được WFH 1 ngày/ tuần. Location làm việc linh động giữa HN và HCM. Không phải thường xuyên OT nhưng mà OT đều có tiền được trả đầy đủ. có thêm các hoạt động bonding. Văn phòng mới rộng hơn, có nhiều game thú vị hơn và có chỗ ngủ trưa thoải mái.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
Công ty môi trường rất tốt có nhiều dự án học hỏi. Công ty cung cấp máy cho công việc. Luôn đáp ứng yêu cầu cần thiết cho công việc. Môi trường làm việc tốt. Có các lead tốt trong các dự án. Ưu đã cho thời gian OT rất tốt. Mình rất hài lòng với công ty. Văn phòng mới to hơn. Tuyển thêm nhân viên nữ =))). Cải thiện các hoạt động ngoại khoá và gắn kết nhân viên.,"Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Môi trường làm việc tốt, dự án nhiều thử thách để học hỏi. Môi trường trẻ trung năng động, sếp thân thiện và hòa đồng. Có nhiều cơ hội để thể hiện năng lực. Công ty đang đà phát triển nên có nhiều cơ hội và thử thách mới. Ít khi OT. Có trả lương OT hoặc quy ngày nghỉ phép. Do công ty còn non trẻ nên chưa hình thành văn hóa công ty rõ rệt. Các hoạt động ngoại khóa còn thiếu. Hy vọng tương lai khi đã đi vào ổn định sẽ được cải thiện.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Review của 1 bạn dev quèn. Văn phòng thoải mái, nhân viên đc cấp laptop để làm việc. Công ty có tính thêm lương khi OT và thêm ngày phép. Ngoài HN nên tuyển thêm các bạn nữ cho sôi động, Có mỗi thế thôi, còn đâu mình thấy công ty mình điều kiện tốt, cơ hội học tập và phát triển cao.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Công ty có môi trường làm việc trẻ trung. môi trường công ty vui vẻ, mọi người đều thoải mái, ai cũng vui tính, có nhiều senior kinh nghiệm đầy mình, tha hồ hấp thu =))). tương đối thoải mái, từ ăn mặc đến giờ giấc, miễn sao làm việc có hiệu quả. có form log giờ đầy đủ sau các buổi OT. văn phòng to đẹp rộng rãi hơn, nhiều nhân viên nữ hơn =)))).","Culture & fun, Office & workspace"
"Chế độ phúc lợi khá ổn. Môi trường làm việc công bằng, đồng nghiệp và Sếp đều hỗ trợ nhiệt tình. Gần như không OT, khi nào OT đều báo trước và được tự nguyện chọn OT chứ không bắt buộc. Hạn chế thời gian họp online, nhân viên sẽ có nhiều thời gian làm việc hơn.","Salary & benefits, Management cares about me"
"Môi trường làm việc tốt. Môi trường làm việc tốt, mọi người thân thiện hòa đồng.",Culture & fun
"Sếp tốt, môi trường năng động, thân thiện, được làm nhiều cái mới. Môi trường thân thiện, hiệu quả công việc là chính, được làm nhiều cái mới. Rất ít khi OT, nếu có sẽ được nghỉ bù. Máy chiếu hơi mờ.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Môi trường làm việc và văn hóa tuyệt vời. Môi trường làm việc tốt, thoải mái, năng động. Mọi người trong công ty vui vẻ, thân thiện. Gần như là không có OT (thỉnh thoảng 1, 2 tháng mới có nhưng được nghỉ bù). Lương tạm ổn. Người mới được cấp Macbook xịn xò. Được phục vụ thức ăn tận tình. Sau khi OT còn được nghỉ bù. Cần cải thiện về estimate time cho project. Giảm thiểu việc thêm feature/requirement mới vào giữa chừng và làm xáo trộn kế hoạch.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Mái nhà thứ 2. Mọi người vui vẻ hoà đồng, hay rủ ăn vặt. Bàn luận đạo lí làm người. công ty chỉ làm tới giờ rồi về, không có OT. thấy bên Dev có OT xong nghỉ bù. Hướng phát triển và lên kế hoạch dự án chỉn chu hơn.","Management cares about me, Culture & fun"
"Năng động - Thoải mái. Văn phòng sạch sẽ, đẹp. Môi trường năng động, thoải mái, trẻ trung. Bảo vệ khó chịu, bãi giữ xe chật. Chuyên nghiệp, trẻ trung, nhiệt huyết và môi trường vui vẻ. Văn phòng to hơn, rộng rãi hơn. Thêm các hoạt động gắn kết.","Culture & fun, Office & workspace"
"Công ty tốt. Môi trường làm việc thoải mái, năng động, trẻ trung. Phúc lợi & thưởng phù hợp với đóng góp của bản thân. Bãi giữ xe nhỏ, các hoạt động ngoại khóa ngoài giờ làm ít.","Salary & benefits, Culture & fun, Office & workspace"
"Trẻ Trung - Năng Động - Đam Mê. Văn phòng hơi nhỏ , chổ gởi xe bảo vệ hơi khó chịu , xung quanh không nhiều chổ ăn uống, công việc hơi nhiều vào lúc cuối tuần, ít hoạt động thể dục thể thao. Đa số là người trẻ nên môi trường làm việc đầy năng động và sáng tạo. Nhân viên đoàn kết với nhau, sếp thân thiện, có đầy nhiệt huyết. Tổ chức thêm nhiều hoạt đông thể dục thể thao để gắn kết hơn, mong muốn có văn phòng to hơn.","Management cares about me, Culture & fun, Office & workspace"
"Không quan tâm nhiều tới IT mặc dù xương sống của công ty là IT. Nhiều việc nhưng không bị hối thúc quá. Được cấp máy tính làm việc. Sếp trực tiếp thì ok, vui vẻ hòa đồng với mọi người. Nhưng sếp tổng thì không quan tâm tới IT, không có cơ hội thăng tiến. Nên tuyển dụng thêm nhân sự IT do lượng việc quá nhiều.","Management cares about me, Office & workspace"
"Môi trường làm việc trẻ trung năng động. Văn phòng đẹp, rộng rãi, nhân viên năng động nhiệt tình. Công việc nhiều, phải tăng ca liên tục cho kịp tiến độ. Công việc nhiều, phải tăng ca liên tục. Chưa nhiều phúc lợi.","Salary & benefits, Culture & fun, Office & workspace"
